Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42621,,
Mouse ID,11361,,
Disposition,"Lethargic dispostion, ulcerated tumors; T1- R ear, T2- L eye",,
Sex,Male,,
Strain,All Alleles,,
BD,42567,,
Sac Date,42620,,
Age at Sac,53,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42569,,
Virus 1,RCAS HA-Akt3 E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf het; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, kidneys, liver, spleen, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Lethargic dispostion, ulcerated tumors; T1- R ear, T2- L eye",,
,Skull intact,,
,Organs appeared normal,,
,1 cryogenic and 1 cell line attempted per tumor,,
