Mouse Necropsy information sheet,...2
Initials,YN
Today's Date,42627
Mouse ID,11655-00
Disposition,"Couldn't move hind legs, hunched over, barely mobile"
Sex,F
Strain,DCT-TVA; Braf; All alleles
BD,42590
Sac Date,42627
Age at Sac,37
RCAS injection?,Yes
Injection route,Ear buds
Injection Date,42590
Virus 1,myr FLAG Akt 2Pl/1KR
Virus 2,Cre
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,"Brain, Lungs, Heart, Liver, L and R Kidneys"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
