Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42649
Mouse ID,11249
Disposition,Mal-occulusion (Found dead)
Sex,Male
Strain,N-TVA ATRX f/f
BD,42558
Sac Date,42646
Age at Sac,88
RCAS injection?,Yes
Injection route,IC
Injection Date,42559
Virus 1,Cre
Virus 2,PDGFA
Virus 3,IDH1WT
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin TVA ATRX f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,Animal was found dead. Brain was mushy
