Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42537
Mouse ID,10019
Disposition,Poor health
Sex,Male
Strain,Nestin-TVA; ATRX flox/flox;Ink flox/flox;Ptenf/f
BD,42462
Sac Date,42536
Age at Sac,74
RCAS injection?,Yes
Injection route,IC
Injection Date,42464
Virus 1,Cre
Virus 2,PDGFA
Virus 3,IDH1R132H
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42536
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox;Ink flox/flox;Ptenf/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,brain looks slightly enlarged.
