Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42762,,
Mouse ID,13363,,
Disposition,Poor health; T1- chest/neck,,
Sex,Male,,
Strain,All alleles,,
BD,42719,,
Sac Date,42762,,
Age at Sac,43,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42720,,
Virus 1,RCAS HA-Akt1 Q79K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,N/A,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Poor health; T1- chest/neck,,
,Skull was intact,,
,Organs appeared normal--except a tissue mass was found attached to the heart/lung complex and another one was attached to the connective tissue of the kidneys,,
,3 cryogenics,,
