Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,MF/GP,,,,,,,,
Today's Date,45049,,,,,,,,
Mouse ID,34127-00,,,,,,,,
Disposition,Large hematoma formed on arm; sac'd for health.,,,,,,,,
Sex,F,,,,,,,,
Strain,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,,,,,,,,
BD,45006,,,,,,,,
Sac Date,45049,,,,,,,,
Age at Sac,43,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Subcutaneous behind ears bilaterally,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS-Cre,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,45047,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,,,,,,,,
Tissue collected,"Brain, liver, lungs",,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,Large cyst/tumor noted on left arm. Evidence of some tumor tissue but mostly blood filled and not enough tumor tissue to collect. Brain and liver appeared normal. Lungs had small nodules noted.,,,,,,,,
