Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43010
Mouse ID,NSG00103
Disposition,Normal disposition; sac'd due to ulcerated tumor; T1- R flank
Sex,male
Strain,NSG
BD,42880
Sac Date,43010
Age at Sac,130
RCAS injection?,Yes
Injection route,subcutaneous
Injection Date,42882
Virus 1,5610 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,42968
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, Brain, Lungs"
Zinc fixed?,Brain & Lungs
Formalin fixed?,Tumor
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Normal disposition; sac'd due to ulcerated tumor; T1- R flank
,Skull and brain were intact
,other organs appeared normal
,T1 - 1 cryo and 1 cell line
