Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,42898
Mouse ID,NSG 00096
Disposition,Very ungroomed; sac'd due to ulcerated tumor; T1- R side
Sex,Male
Strain,NSG
BD,42854
Sac Date,42898
Age at Sac,44
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42857
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,42874
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain, lungs, heart, kidneys, spleen, liver"
Zinc fixed?,Brain and lungs
Formalin fixed?,Tumor and remaining organs
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Very ungroomed; sac'd due to ulcerated tumor; T1- R side
,Skull and brain were intact; hindbrain separated from forebrain but was still in good condition.
,All other organs appeared normal.
,2 cryogenic and 1 cell line attempted
