Mouse Necropsy information sheet,...2
Initials,SA
Today's Date,42892
Mouse ID,13177
Disposition,Normal
Sex,Male
Strain,N-TVA; Pten f/f
BD,42709
Sac Date,42892
Age at Sac,183
RCAS injection?,No
Injection route,None
Injection Date,
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,"n/a; wasn't an injected mouse, no specific date recorded"
Dox Tx?,
Duration of Dox Tx,
Genotype,N-TVA Tg/+; pten f/f;
Tissue collected,"Brain, heart, lungs, tumor, spleen, liver"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"This mouse has no record of being injected, nor any record of being fostered with another litter that would have potentially been injected with melanoma."
,The tumor was located on the back of the neck and surrounded the front left leg.
,The liver appeared abnormal (spotted).
