Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42513
Mouse ID,10177
Disposition,Sick
Sex,Male
Strain,Nestin-TVA; ATRX flox/flox;Ink flox/flox;Pten
BD,42480
Sac Date,42507
Age at Sac,27
RCAS injection?,Yes
Injection route,IC
Injection Date,42480
Virus 1,Cre
Virus 2,PDGFA
Virus 3,
Virus 4,
Evidence of tumor?,
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox;Ink flox/flox;Pten
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,Brain bluish black in color
