Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,42879
Mouse ID,NSG00075-10
Disposition,Hunched and ungroomed; sac'd due to ulcerated tumor.
Sex,Female
Strain,NSG
BD,42850
Sac Date,42879
Age at Sac,29
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42851
Virus 1,9678 (subcutaneous)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42871
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor"
Zinc fixed?,"Brain, lungs"
Formalin fixed?,"Tumor, organs"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Hunched and ungroomed; sac'd due to ulcerated tumor.
,Tumor was fluid-filled; only about 1/2 of presented size was actual tumor tissue.
,Brain and skull were in tact.
,Heart was enlarged; spleen was smaller than normal.
,All other organs appeared normal.
,2 cryogenics and 1 cell line attempted for tumor.
