Mouse Necropsy information sheet,...2,...3,...4
Initials,RB,,
Today's Date,43231,,
Mouse ID,18001,,
Disposition,Lethargic,,
Sex,Male,,
Strain,Nestin-TVA; ATRX flox/flox; Ink4a f/f; Pten f/f,,
BD,43152,,
Sac Date,43231,,
Age at Sac,79,,
RCAS injection?,Yes,,
Injection route,Intracranial,,
Injection Date,43154,,
Virus 1,IDHR132H,,
Virus 2,PDGFA,,
Virus 3,Cre,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,NA,,
Dox Tx?,Olap,,
Duration of Dox Tx,,,
Genotype,Nestin-TVA; ATRX flox/flox; Ink4a f/f; Pten f/f,,
Tissue collected,"Brain, blood",,
Zinc fixed?,No,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
,,,
Additional comments,Brain appeared normal. Treated with olap 3 hours prior to sac,,
